iter	RMSE
0	1.300830361
1	1.291240429
2	1.282243327
3	1.273900424
4	1.266394668
5	1.259655403
6	1.253274792
7	1.247407072
8	1.242062819
9	1.237067958
10	1.232650939
11	1.228609913
12	1.224791358
13	1.221336829
14	1.218287798
15	1.215262873
16	1.212552005
17	1.209947047
18	1.20752755
19	1.205293742
20	1.203227552
21	1.201431022
22	1.19980212
23	1.198302667
24	1.196810392
25	1.195462079
26	1.194167504
27	1.193050696
28	1.192065893
29	1.191081925
30	1.190146234
31	1.189291835
32	1.18850367
33	1.187602757
34	1.186871529
35	1.18630081
36	1.185677279
37	1.185093121
38	1.184471417
39	1.184043957
40	1.183549622
41	1.182595432
42	1.182066029
43	1.181691829
44	1.181119918
45	1.180687462
46	1.180247279
47	1.179995203
48	1.179449434
49	1.178606028
50	1.177947482
51	1.17764672
52	1.177378811
53	1.177115041
54	1.176636775
55	1.176167075
56	1.175465364
57	1.175247685
58	1.17501329
59	1.174709546
60	1.174518297
61	1.174276656
62	1.174127844
63	1.173972975
64	1.173771459
65	1.173483735
66	1.172867963
67	1.172654068
68	1.172405591
69	1.17224572
70	1.171693343
71	1.171585683
72	1.171035029
73	1.170839314
74	1.170711532
75	1.170518511
76	1.170350392
77	1.170257418
78	1.169803892
79	1.169422915
80	1.169231922
81	1.169002893
82	1.168686478
83	1.168567278
84	1.168275112
85	1.16805487
86	1.167958653
87	1.167799805
88	1.167581309
89	1.167499796
90	1.167346599
91	1.167159246
92	1.167083266
93	1.166887296
94	1.166741217
95	1.166594097
96	1.166453495
97	1.166263497
98	1.166158604
99	1.166154569
100	1.166042363
101	1.16596871
102	1.165914107
103	1.16563829
104	1.165501047
105	1.165326685
106	1.165257485
107	1.165072915
108	1.164880595
109	1.164786775
110	1.164635369
111	1.164540251
112	1.164373776
113	1.164123379
114	1.163938475
115	1.163857781
116	1.163738189
117	1.163526147
118	1.163405036
119	1.163247153
120	1.162999381
121	1.162878932
122	1.162633387
123	1.162552039
124	1.162480624
125	1.162297611
126	1.16222818
127	1.162102987
128	1.161993619
129	1.161922426
130	1.161643457
131	1.16147913
132	1.161266471
133	1.161135328
134	1.16104972
135	1.160960362
136	1.160843446
137	1.160736627
138	1.160521984
139	1.160439154
140	1.16032619
141	1.160193452
142	1.160107313
143	1.159998629
144	1.159841052
145	1.159644167
146	1.159524602
147	1.159411395
148	1.159186334
149	1.158951825
150	1.158688589
151	1.158535821
152	1.158458504
153	1.158439842
154	1.158307813
155	1.1582511
156	1.158128666
157	1.158050396
158	1.1579552
159	1.157875889
160	1.157709999
161	1.157533486
162	1.157366826
163	1.157225823
164	1.157150323
165	1.157073531
166	1.156993285
167	1.156812544
168	1.156678785
169	1.156554949
170	1.1563625
171	1.156210918
172	1.15611078
173	1.155988531
174	1.155940463
175	1.155858386
176	1.155754301
177	1.155740182
178	1.155650722
179	1.155488739
180	1.155362455
181	1.155242911
182	1.155169498
183	1.155122788
184	1.154917673
185	1.154808036
186	1.154738619
187	1.154701484
188	1.154546744
189	1.154431655
190	1.154342661
191	1.15426852
192	1.154208513
193	1.154146593
194	1.154089727
195	1.153935059
196	1.153842466
197	1.153767725
198	1.153674808
199	1.153638672
200	1.153592467
201	1.153545332
202	1.153538517
203	1.153504751
204	1.153419455
205	1.153409748
206	1.153311483
207	1.153236811
208	1.153133677
209	1.153035234
210	1.152951815
211	1.152792914
212	1.152772094
213	1.152664733
214	1.152547338
215	1.152415771
216	1.15233179
217	1.152240308
218	1.152153264
219	1.152055151
220	1.152054634
221	1.151931386
222	1.151908224
223	1.151768621
224	1.151749903
225	1.151679008
226	1.151544549
227	1.151481141
228	1.151479641
229	1.151353952
230	1.151255668
231	1.151141026
232	1.151102844
233	1.151013231
234	1.150975976
235	1.150807228
236	1.150681104
237	1.150672253
238	1.150671011
239	1.150483272
240	1.150348311
241	1.15021468
242	1.150184701
243	1.150069797
244	1.149973474
245	1.149940536
246	1.14990998
247	1.149881494
248	1.14985482
249	1.149853318
250	1.149845394
251	1.149720096
252	1.149708234
253	1.149706991
254	1.14956567
255	1.149563649
256	1.149468683
257	1.149447699
258	1.14943687
259	1.149429772
260	1.14942314
261	1.149416456
262	1.149414694
263	1.149408373
264	1.149406663
265	1.149400653
266	1.149394746
267	1.149393036
268	1.14939174
269	1.149385989
270	1.149385005
271	1.149379512
272	1.149374123
273	1.149368786
274	1.149367905
275	1.149362879
276	1.149361584
277	1.149356661
278	1.149355988
279	1.149351065
280	1.149350443
281	1.14934578
282	1.149345158
283	1.149344381
284	1.149344018
285	1.149343448
286	1.149338888
287	1.14933837
288	1.149334173
289	1.149329768
290	1.149329354
291	1.149325105
292	1.149321166
293	1.149320752
294	1.149320337
295	1.149319871
296	1.149316036
297	1.149315622
298	1.149315363
299	1.149311476
300	1.149307694
301	1.149304118
302	1.149303859
303	1.149300387
304	1.14930018
305	1.149299714
306	1.149296345
307	1.149293029
308	1.149292718
309	1.149292459
310	1.149289194
311	1.149286189
312	1.149283131
313	1.14928023
314	1.149277431
315	1.14927712
316	1.149276913
317	1.149273959
318	1.149273907
319	1.149271161
320	1.149270902
321	1.149270591
322	1.149268104
323	1.149267793
324	1.149265202
325	1.149262818
326	1.149262507
327	1.149262403
328	1.149262144
329	1.149262041
330	1.14925945
331	1.149257221
332	1.149254889
333	1.149252557
334	1.149250536
335	1.149248308
336	1.149246442
337	1.149246183
338	1.149244162
339	1.149242193
340	1.149241934
341	1.149241882
342	1.149241623
343	1.149239757
344	1.149237892
345	1.149237736
346	1.149237529
347	1.149237477
348	1.149235767
349	1.149233902
350	1.149232243
351	1.149232088
352	1.149231984
353	1.149231932
354	1.14923017
355	1.149230015
356	1.14922846
357	1.149228408
358	1.149228357
359	1.149228149
360	1.149226595
361	1.149226543
362	1.149226491
363	1.149224936
364	1.149224729
365	1.149223382
366	1.149223174
367	1.149223278
368	1.149221672
369	1.149220272
370	1.149218821
371	1.149217526
372	1.149217422
373	1.149217267
374	1.149216023
375	1.149215971
376	1.149214675
377	1.149214624
378	1.14921452
379	1.149213224
380	1.149213224
381	1.149213224
382	1.149211877
383	1.149211929
384	1.149210685
385	1.149209441
386	1.149209441
387	1.149208353
388	1.149208353
389	1.149208198
390	1.149207265
391	1.149206073
392	1.149206073
393	1.149206021
394	1.149204933
395	1.149203844
396	1.14920286
397	1.14920286
398	1.149202704
399	1.149202704
400	1.149202756
401	1.149202653
402	1.149202601
403	1.149201616
404	1.149200735
405	1.149200631
406	1.149200735
407	1.149200631
408	1.149199699
409	1.149198818
410	1.149198766
411	1.149198766
412	1.149197885
413	1.149197885
414	1.149197781
415	1.149197004
416	1.1491969
417	1.149196175
418	1.149195294
419	1.149195345
420	1.149195345
421	1.149194464
422	1.149193687
423	1.14919291
424	1.14919291
425	1.149192236
426	1.149192184
427	1.149191459
428	1.149191407
429	1.149190681
430	1.149190681
431	1.149190059
432	1.149190059
433	1.149189904
434	1.149189282
435	1.14918923
436	1.149189127
437	1.14918923
438	1.149189127
439	1.149189178
440	1.149189178
441	1.149189075
442	1.149189127
443	1.149188453
444	1.149187883
445	1.149187831
446	1.149187779
447	1.149187157
448	1.149187209
449	1.149187157
450	1.149187105
451	1.149186587
452	1.149186535
453	1.149186535
454	1.149186535
455	1.149186535
456	1.149186484
457	1.149186535
458	1.149186484
459	1.149186432
460	1.149186432
461	1.149186328
462	1.149186484
463	1.14918581
464	1.149185188
465	1.149185188
466	1.149185188
467	1.149185292
468	1.149091849
469	1.149034318
470	1.148961908
471	1.148961389
472	1.148960871
473	1.148960301
474	1.148959782
475	1.148885398
476	1.14882402
477	1.148702552
478	1.148702552
479	1.148702604
480	1.148702033
481	1.148702033
482	1.148701567
483	1.148701152
484	1.148700789
485	1.148700374
486	1.148700167
487	1.148644638
488	1.148596988
489	1.148539277
490	1.148437329
491	1.148354301
492	1.148302542
493	1.148247202
494	1.148141027
495	1.148042519
496	1.148012586
497	1.148011548
498	1.147913548
499	1.147815488
500	1.14779795
501	1.147677982
502	1.147624272
503	1.14751861
504	1.147460377
505	1.147375618
506	1.147270867
507	1.147270503
508	1.147203744
509	1.147054639
510	1.147054275
511	1.146962632
512	1.146883288
513	1.146883029
514	1.146882769
515	1.146882509
516	1.146868437
517	1.146868073
518	1.146774494
519	1.146673168
520	1.146575053
521	1.146504773
522	1.146409398
523	1.146409242
524	1.146299051
525	1.146207763
526	1.146207504
527	1.1462074
528	1.146168222
529	1.14616791
530	1.146103997
531	1.145981357
532	1.145981201
533	1.145981097
534	1.14588469
535	1.145884586
536	1.145884534
537	1.145817538
538	1.145764001
539	1.145763793
540	1.145763689
541	1.1457364
542	1.145673191
543	1.145610237
544	1.145610185
545	1.145533868
546	1.145476782
547	1.145417977
548	1.145417717
549	1.145386156
550	1.145310447
551	1.145251115
552	1.145251011
553	1.14521154
554	1.145211436
555	1.145211436
556	1.145211228
557	1.145209772
558	1.145205716
559	1.145205664
560	1.145205664
561	1.145205508
562	1.145141593
563	1.145081731
564	1.144974429
565	1.144835594
566	1.144775404
567	1.144669374
568	1.144644192
569	1.144557403
570	1.144420963
571	1.144335874
572	1.144263843
573	1.144209088
574	1.144124661
575	1.144026484
576	1.143913409
577	1.143850671
578	1.143850723
579	1.143782567
580	1.143699566
581	1.143612966
582	1.143494694
583	1.143494746
584	1.143444589
585	1.143409484
586	1.143409536
587	1.143324945
588	1.143324998
589	1.143226856
590	1.143200861
591	1.1432006
592	1.143200496
593	1.143069521
594	1.143069521
595	1.143011322
596	1.143011113
597	1.142936498
598	1.142936237
599	1.14286688
600	1.14277365
601	1.142650861
602	1.142650652
603	1.142650444
604	1.142569185
605	1.14242328
606	1.142326365
607	1.142251913
608	1.142251756
609	1.142121715
610	1.142121611
611	1.142121402
612	1.142119369
613	1.142119108
614	1.142119056
615	1.141994788
616	1.141994684
617	1.141994788
618	1.141994527
619	1.141994371
620	1.141914369
621	1.141914265
622	1.141821583
623	1.141748142
624	1.141747933
625	1.141747776
626	1.141710637
627	1.141623938
628	1.141533998
629	1.141396048
630	1.141395891
631	1.141395787
632	1.141395735
633	1.141289026
634	1.141288922
635	1.141288817
636	1.141288661
637	1.141288504
638	1.141288452
639	1.141129544
640	1.141129597
641	1.141129649
642	1.141129597
643	1.141129544
644	1.141129597
645	1.141129492
646	1.141129649
647	1.141129544
648	1.141129544
649	1.141129649
650	1.141129544
651	1.14112944
652	1.141129283
653	1.141129388
654	1.141129179
655	1.141129231
656	1.141129283
657	1.141129231
658	1.141129179
659	1.141025525
660	1.141025421
661	1.141025368
662	1.141025421
663	1.141025212
664	1.14102516
665	1.14102516
666	1.14102516
667	1.141025055
668	1.141024951
669	1.141024846
670	1.140954016
671	1.140953964
672	1.140953807
673	1.140806129
674	1.140663706
675	1.140663706
676	1.140663758
677	1.140536094
678	1.140536042
679	1.140536146
680	1.140536094
681	1.140536094
682	1.140536146
683	1.140528522
684	1.140528575
685	1.140521891
686	1.140521839
687	1.140521891
688	1.140515625
689	1.140510142
690	1.140505964
691	1.140434945
692	1.140403663
693	1.140358437
694	1.140358489
695	1.140354729
696	1.140348462
697	1.140321409
698	1.140281455
699	1.140277224
700	1.140273359
701	1.140160121
702	1.14015683
703	1.140087042
704	1.140021795
705	1.140018557
706	1.14001584
707	1.140015109
708	1.140014795
709	1.140014168
710	1.140013855
711	1.140013541
712	1.140013385
713	1.14001328
714	1.140012706
715	1.140012497
716	1.140012026
717	1.140011608
718	1.140011243
719	1.140011138
720	1.140010825
721	1.140010407
722	1.140010302
723	1.140010198
724	1.140010041
725	1.140009728
726	1.140009676
727	1.140009571
728	1.14000931
729	1.140009205
730	1.140009101
731	1.140008787
732	1.140008474
733	1.140008422
734	1.140008265
735	1.140008265
736	1.140008161
737	1.140008056
738	1.140007899
739	1.140007743
740	1.139946932
741	1.13994688
742	1.139878438
743	1.139878333
744	1.139878072
745	1.139877968
746	1.139877968
