iter	Passed	Remaining
0	24	73590
1	51	77783
2	88	88807
3	117	87960
4	145	87198
5	177	88632
6	219	93783
7	268	100367
8	309	102714
9	352	105430
10	406	110488
11	459	114478
12	532	122381
13	577	123079
14	628	124973
15	679	126756
16	737	129445
17	778	128935
18	837	131442
19	884	131835
20	930	131963
21	970	131365
22	1004	130019
23	1022	126810
24	1044	124337
25	1063	121632
26	1083	119312
27	1101	116957
28	1120	114782
29	1139	112859
30	1160	111108
31	1180	109499
32	1199	107872
33	1217	106216
34	1239	105039
35	1258	103621
36	1274	102096
37	1297	101107
38	1316	99916
39	1336	98879
40	1354	97738
41	1374	96793
42	1394	95877
43	1416	95141
44	1439	94555
45	1461	93880
46	1489	93585
47	1516	93243
48	1540	92777
49	1565	92385
50	1587	91786
51	1608	91190
52	1630	90671
53	1648	89926
54	1672	89539
55	1694	89094
56	1718	88734
57	1739	88214
58	1760	87748
59	1781	87300
60	1812	87336
61	1835	86994
62	1862	86844
63	1883	86390
64	1905	86022
65	1929	85769
66	1953	85516
67	1974	85132
68	1991	84585
69	2007	84027
70	2021	83391
71	2041	83013
72	2060	82636
73	2085	82450
74	2103	82021
75	2124	81741
76	2145	81454
77	2165	81129
78	2184	80757
79	2209	80640
80	2228	80322
81	2252	80142
82	2272	79877
83	2294	79650
84	2313	79325
85	2332	79047
86	2352	78773
87	2372	78506
88	2391	78224
89	2410	77941
90	2431	77719
91	2454	77584
92	2477	77435
93	2500	77301
94	2525	77228
95	2550	77143
96	2576	77101
97	2599	76977
98	2621	76816
99	2635	76442
100	2657	76268
101	2676	76030
102	2702	76010
103	2723	75830
104	2746	75733
105	2765	75515
106	2790	75437
107	2809	75231
108	2831	75093
109	2847	74803
110	2868	74665
111	2888	74485
112	2909	74345
113	2930	74183
114	2954	74116
115	2977	74039
116	3007	74100
117	3030	74025
118	3050	73855
119	3077	73861
120	3096	73677
121	3120	73602
122	3139	73442
123	3158	73264
124	3179	73126
125	3198	72955
126	3218	72806
127	3238	72671
128	3258	72513
129	3277	72363
130	3295	72180
131	3317	72077
132	3338	71959
133	3358	71827
134	3377	71677
135	3397	71538
136	3416	71398
137	3441	71375
138	3463	71278
139	3488	71266
140	3511	71191
141	3533	71114
142	3561	71148
143	3591	71231
144	3613	71151
145	3642	71202
146	3674	71307
147	3699	71292
148	3724	71271
149	3744	71143
150	3763	71012
151	3787	70962
152	3824	71169
153	3847	71107
154	3869	71026
155	3902	71153
156	3929	71164
157	3953	71114
158	3985	71221
159	4008	71143
160	4032	71101
161	4055	71052
162	4078	70980
163	4103	70957
164	4126	70900
165	4149	70835
166	4169	70727
167	4192	70680
168	4212	70559
169	4235	70508
170	4254	70387
171	4273	70257
172	4294	70177
173	4316	70108
174	4335	69995
175	4360	69965
176	4380	69867
177	4399	69757
178	4420	69659
179	4441	69580
180	4459	69462
181	4480	69378
182	4501	69287
183	4522	69208
184	4542	69115
185	4563	69047
186	4583	68947
187	4599	68796
188	4619	68708
189	4639	68618
190	4659	68527
191	4688	68562
192	4706	68457
193	4724	68334
194	4739	68171
195	4754	68012
196	4774	67930
197	4795	67862
198	4815	67783
199	4835	67698
200	4858	67659
201	4875	67530
202	4889	67370
203	4911	67319
204	4930	67223
205	4948	67118
206	4965	66999
207	4988	66958
208	5007	66867
209	5028	66802
210	5047	66716
211	5069	66672
212	5094	66663
213	5117	66624
214	5135	66527
215	5160	66512
216	5180	66438
217	5201	66382
218	5224	66350
219	5244	66270
220	5256	66102
221	5275	66008
222	5293	65925
223	5315	65875
224	5332	65770
225	5352	65702
226	5372	65630
227	5392	65561
228	5409	65456
229	5430	65396
230	5460	65449
231	5480	65386
232	5509	65423
233	5534	65415
234	5560	65424
235	5580	65359
236	5610	65412
237	5628	65318
238	5643	65196
239	5668	65182
240	5692	65172
241	5722	65217
242	5751	65258
243	5773	65215
244	5800	65230
245	5821	65172
246	5837	65063
